Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
Audio Production Academy AB;Drottninggatan 92;Drottninggatan 92;11136;Stockholm;malin@apacademy.se;8000000;YH01179;Ljud & Musikproducent;Stockholm;Bunden;Beviljat;20;
Audio Production Academy AB;Drottninggatan 92;Drottninggatan 92;11136;Stockholm;malin@apacademy.se;8000000;YH01921;Game Audio Producent & Sound Designer;Stockholm;Bunden;Beviljat;20;
AutoElec AB;Torvingegatan 16;Torvingegatan 16;58278;Linköping;info@autoelec.se;733444011;YH01965;Mekatronikingenjör - industriell konstruktion;Linköping;Bunden;Beviljat;20;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH00064;Logistiker med hållbarhetskompetens;Gävle;Distans;Beviljat;30;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH00098;Drifttekniker, Kraft & Värme / Process;Gävle;Distans;Beviljat;20;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH00620;Inköpare & Upphandlare med hållbarhetskompetens;Örebro;Distans;Beviljat;30;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH00983;Drifttekniker, Kraft & Värme / Process;Örebro;Bunden;Beviljat;20;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH01010;Logistiker med hållbarhetskompetens;Örebro;Bunden;Beviljat;35;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH01527;Automations- & Underhållstekniker;Eskilstuna;Bunden;Beviljat;20;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH02005;Drifttekniker, Kraft & Värme / Process;Skellefteå;Distans;Beviljat;20;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH02435;Inköpare & Upphandlare med hållbarhetskompetens;Skellefteå;Bunden;Beviljat;30;
AVT AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;010-5855850;YH02530;Felsökning inom Kraft & Värme;Gävle, Jönköping, Västerås, Örebro;Distans;Startat;60;14
Axelsons Gymnastiska Institut;Brunkebergsgatan 8;Brunkebergsgatan 8;11152;Stockholm;info@axelsons.se;08-54545900;YH01698;Hud- och Spaterapeut;Stockholm;Bunden;Startat;20;26
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH00526;Public Relations;Stockholm;Bunden;Beviljat;25;
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH00527;Digital Design & Strategy;Stockholm;Bunden;Beviljat;25;
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH00529;Growth Marketing;Stockholm;Bunden;Beviljat;25;
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH00530;Produktionsledning;Stockholm;Bunden;Beviljat;25;
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH00531;Strategisk kommunikation;Stockholm;Bunden;Beviljat;25;
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH02327;Stadsutveckling / Urban Designer;Stockholm;Bunden;Beviljat;25;
Berghs School of Communication;Bobergsgatan 48;Box 1380;11193;Stockholm;info@berghs.se;08-58755000;YH02329;Content Engineering;Stockholm;Bunden;Beviljat;25;
Bergqvists Massage & Friskvårdsutbildningar AB;Roxviksgatan 8A;Roxviksgatan 8A;58273;Linköping;info@bergqvistutbildningar.se;013-137506;YH00153;Medicinsk Massageterapeut;Malmö;Bunden;Beviljat;28;
Bergqvists Massage & Friskvårdsutbildningar AB;Roxviksgatan 8A;Roxviksgatan 8A;58273;Linköping;info@bergqvistutbildningar.se;013-137506;YH00154;Medicinsk Massageterapeut;Linköping;Bunden;Startat;28;32
Bergqvists Massage & Friskvårdsutbildningar AB;Roxviksgatan 8A;Roxviksgatan 8A;58273;Linköping;info@bergqvistutbildningar.se;013-137506;YH00939;Medicinsk Massageterapeut;Bromma;Bunden;Beviljat;28;
Bergsskolan Kompetensutveckling AB;Bergsskolegatan 1;Bergsskolegatan 1;68233;Filipstad;susanne.jonson@bergsskolan.se;735238800;YH01195;Bergsskoleingenjör - Metallurgi och Materialteknik;Filipstad;Bunden;Beviljat;15;
Bergsskolan Kompetensutveckling AB;Bergsskolegatan 1;Bergsskolegatan 1;68233;Filipstad;susanne.jonson@bergsskolan.se;735238800;YH01197;Bergsskoletekniker - Metallurgi och Materialteknik;Filipstad;Bunden;Beviljat;15;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH00038;Vatten- & Miljötekniker ;Skellefteå, Sundsvall, Östersund;Distans;Beviljat;20;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH00050;Vatten- & Miljötekniker;Stockholm;Distans;Beviljat;20;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH00318;Redovisningsekonom med lönekompetens;Örebro;Bunden;Beviljat;35;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH01529;VA-projektör;Göteborg, Örebro;Distans;Beviljat;20;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH01543;Samhällsbyggare inom rörnät- & ledningsteknik;Skellefteå, Sundsvall, Östersund;Distans;Beviljat;20;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH02340;Drifttekniker med vätgaskompetens;Göteborg, Stockholm;Distans;Beviljat;20;
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH02461;Bokslut & Deklarationer;Örebro;Distans;Startat;120;43
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH02467;Kommunikation & Rådgivning;Örebro;Distans;Startat;80;27
Blue Peak AB;Bettorpsgatan 10;Bettorpsgatan 10;70369;Örebro;info@yhsky.se;105855850;YH02469;Koncernredovisning;Örebro;Distans;Startat;90;30
Borlänge kommun;Röda vägen 50;Röda vägen 50;78181;Borlänge;kommun@borlange.se;0243-74000;YH00751;Underhållstekniker inom processindustrin;Borlänge;Bunden;Beviljat;20;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH00410;Garment technical designer;Borås;Bunden;Beviljat;20;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH00905;Digital Art Director och Copywriter;Borås;Bunden;Beviljat;35;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH00963;Systemutvecklare .NET;Borås;Bunden;Beviljat;35;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH00984;Stödpedagog inom funktionshinderområdet;Borås;Bunden;Beviljat;28;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH01075;Logistikdesigner;Borås;Bunden;Beviljat;30;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH01154;Medicinsk Vårdadministratör;Borås;Bunden;Beviljat;27;
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH01154;Medicinsk Vårdadministratör;Borås;Distans;Startat;35;39
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH01816;Frontendutvecklare React;Borås;Distans;Startat;30;40
Borås Stad - Yrkeshögskolan i Borås;Fabriksgatan 11;Borås Stad Vuxenutbildningen ;50180;Borås;yh@boras.se;768885816;YH02402;Digital analytiker;Borås, Varberg;Bunden;Beviljat;35;
Båstads kommun Akademi Båstad;Lyckan 15;Akademi Båstad Yrkeshögskola, 26980 Båstad;26980;Båstad;infoakademi@bastad.se;0431-772 18;YH00156;Operativ ledare – inriktning Revenue Management;Båstad;Distans;Beviljat;30;
Båstads kommun Akademi Båstad;Lyckan 15;Akademi Båstad Yrkeshögskola, 26980 Båstad;26980;Båstad;infoakademi@bastad.se;0431-772 18;YH00305;Specialistundersköterska inom hälso- och sjukvård;Båstad;Distans;Beviljat;27;
Båstads kommun Akademi Båstad;Lyckan 15;Akademi Båstad Yrkeshögskola, 26980 Båstad;26980;Båstad;infoakademi@bastad.se;0431-772 18;YH00413;Kvalificerad trädgårdsanläggare;Båstad;Distans;Startat;25;21
Båstads kommun Akademi Båstad;Lyckan 15;Akademi Båstad Yrkeshögskola, 26980 Båstad;26980;Båstad;infoakademi@bastad.se;0431-772 18;YH01512;Kvalificerad trädgårdsmästare – hållbar utemiljöförvaltning;Båstad;Distans;Startat;30;33
Campus Ljungby AB;Stationsgatan 2;Stationsgatan 2;34160;Ljungby;info@campusljungby.se;0372-780020;YH02605;Hållbar produktionsplanering för tillverkningsindustrin.;Ljungby;Bunden;Startat;30;8
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00048;Tandsköterska;Nyköping;Distans;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00206;Specialistundersköterska - demens;Mora, Nyköping;Distans;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00252;Fibertekniker;Nyköping;Distans;Beviljat;30;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00302;Stödpedagog inom funktionshinderområdet;Nyköping;Distans;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00327;Socialpedagog;Nyköping;Bunden;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00497;Elkraftingenjör;Nyköping;Distans;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00498;Elkonstruktör;Nyköping;Distans;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00687;Medicinsk vårdadministratör;Nyköping, Ronneby;Bunden;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH00744;Musik- och eventarrangör;Nyköping;Bunden;Beviljat;30;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH01033;Projektledare Elteknik ;Nyköping;Distans;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH01461;Systemutvecklare .NET;Eskilstuna, Nyköping, Ronneby;Bunden;Beviljat;35;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH01713;Odlare  -  företagande och innovation;Nyköping;Distans;Beviljat;24;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH01767;Equiterapeut;Nyköping;Bunden;Beviljat;24;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH02337;Trafiklärare;Nyköping;Distans;Beviljat;20;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH02384;Kvalificerad signaltekniker;Nyköping;Distans;Beviljat;20;
Campus Nyköping;Stora Torget 7;Nyköping;61183;Nyköping;campus@nykoping.se;0155-248785;YH02667;Automationsingenjör;Nyköping;Distans;Beviljat;25;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH01055;Solenergitekniker;Nynäshamn;Distans;Beviljat;25;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH01163;Bryggeritekniker;Nynäshamn;Distans;Startat;20;34
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH01511;Trädgårdsmästare - skötsel och underhåll av utemiljö;Nynäshamn;Distans;Beviljat;20;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH01590;Underhållstekniker;Nynäshamn;Distans;Beviljat;20;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH01789;Socialpedagog;Kiruna, Nynäshamn;Distans;Beviljat;35;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02120;Neuropsykiatriska funktionsvariationer för barn, unga och vuxna ;Nynäshamn;Distans;Startat;100;48
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02153;Psykisk hälsa och suicidprevention för barn, unga och vuxna ;Nynäshamn;Distans;Startat;100;53
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02391;Vindkraftstekniker;Nynäshamn;Distans;Beviljat;20;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02397;Processoperatör/drifttekniker kemisk industri;Nynäshamn;Distans;Beviljat;25;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02664;Automationstekniker;Nynäshamn;Distans;Beviljat;20;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02668;Produktionstekniker;Nynäshamn;Distans;Beviljat;20;
Campus Nynäshamn;Idunvägen 6;Nynäshamns kommun, Campus Nynäshamn;14981;Nynäshamn;yh@nynashamn.se;08-52068093;YH02719;Digitaliseringledare inom bygg och anläggning;Nynäshamn;Distans;Beviljat;20;
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH00390;VVS-ingenjör - energi och teknik;Lidköping, Ljungby, Varberg;Bunden;Beviljat;20;
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH00421;Elingenjör/Elkonstruktör;Borås, Varberg;Bunden;Beviljat;20;
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH00652;Järnvägsprojektör;Varberg;Bunden;Startat;20;8
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH00678;Energitekniker specialisering vindkraft;Varberg;Bunden;Startat;20;22
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH01007;Systemutvecklare .NET;Varberg;Bunden;Beviljat;20;
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH01481;Medicinsk vårdadministratör;Varberg;Bunden;Beviljat;30;
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH02004;Projektledare inriktning vindkraft;Varberg;Distans;Beviljat;20;
Campus Varberg/Varbergs kommun;Otto Torells gata 16C;Campus Varberg;43280;Varberg;tomas.rasmussen@campus.varberg.se;0340-697400;YH02346;Rådgivare bank och placering;Varberg, Ängelholm;Bunden;Beviljat;30;
Campus Åre/Åre kommun;Kurortsvägen 20;Kurortsvägen 20;83751;Åre;campus@are.se;64716100;YH00159;Vildmark & Äventyrsguide;Åre;Bunden;Beviljat;20;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH00906;Fullstackutvecklare Open Source;Johanneshov;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH01466;DevOps Engineer;Globen;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH01719;Frontendutvecklare med UX-kompetens;Stockholm;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH01796;Frontendutvecklare för mobil och webb;Stockholm;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH01800;Fullstackutvecklare .NET;Johanneshov;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH01801;Fullstackutvecklare JavaScript;Johanneshov;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH02334;Frontendutvecklare för webb och mobil;Malmö, Skellefteå, Sundsvall, Umeå;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH02660;Fullstackutvecklare .NET;Piteå, Skellefteå, Sundsvall, Umeå;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH02688;Fullstackutvecklare Java;Göteborg, Luleå, Malmö, Sundsvall;Bunden;Beviljat;35;
Chas Academy AB;Arenavägen 61;Arenavägen 61;12177;Johanneshov;info@chasacademy.se;08 744 55 49;YH02731;IT och cybersäkerhetstekniker;Jönköping, Malmö, Sundsvall;Bunden;Beviljat;35;
Chas Academy Extended;Arenavägen 61;Arenavägen 61;12177;Johanneshov;anders.wikstrom@chasacademy.se;070-2901538;YH02029;Fullstackutvecklare JavaScript ;Göteborg, Linköping, Luleå, Malmö, Skellefteå, Sundsvall, Umeå;Bunden;Beviljat;35;
Chas Academy Extended;Arenavägen 61;Arenavägen 61;12177;Johanneshov;anders.wikstrom@chasacademy.se;070-2901538;YH02031;Systemutvecklare C/C++ ;Göteborg, Hägersten, Linköping, Malmö, Skellefteå;Bunden;Beviljat;35;
Consensum YH L;Sankt Lars väg Byggnad 20;Sankt Lars väg Byggnad 20;22270;Lund;info@consensum-yh.se;073-4349340;YH00209;Specialistutbildad undersköterska inom demens;Lund;Distans;Startat;30;32
Consensum YH L;Sankt Lars väg Byggnad 20;Sankt Lars väg Byggnad 20;22270;Lund;info@consensum-yh.se;073-4349340;YH00621;Specialistutbildad undersköterska inom psykisk ohälsa ;Lund;Distans;Beviljat;30;
Consensum YH S;Peter Myndes backe 16;c/o Helio Peter Myndes backe 16;11846;Stockholm;info@consensum-yh.se;073-4349340;YH00205;Specialistutbildad undersköterska inom psykisk ohälsa;Stockholm;Distans;Beviljat;30;
Consensum YH S;Peter Myndes backe 16;c/o Helio Peter Myndes backe 16;11846;Stockholm;info@consensum-yh.se;073-4349340;YH00210;Specialistutbildad undersköterska inom palliativ vård ;Stockholm;Distans;Beviljat;35;
Consensum YH S;Peter Myndes backe 16;c/o Helio Peter Myndes backe 16;11846;Stockholm;info@consensum-yh.se;073-4349340;YH00573;Stödpedagog ;Stockholm;Distans;Startat;35;39
Consensum YH S;Peter Myndes backe 16;c/o Helio Peter Myndes backe 16;11846;Stockholm;info@consensum-yh.se;073-4349340;YH00618;Specialistundersköterska inom vård och omsorg av äldre;Stockholm;Distans;Beviljat;30;
Consensus Sverige AB;Boställsvägen 1 B;Boställsvägen 1 B;70227;Örebro;yh@consensus.nu;019-265410;YH00018;Trafikteknik;Örebro;Distans;Beviljat;30;
Consensus Sverige AB;Boställsvägen 1 B;Boställsvägen 1 B;70227;Örebro;yh@consensus.nu;019-265410;YH00334;Medicinsk vårdadministratör;Örebro;Bunden;Beviljat;30;
Creando AB;Har inget kontor;c/o Smeder Gunnilbogatan 8;72340;Västerås;info@creando.se;010-1884601;YH00731;Drifttekniker - processoperatör;Sundsvall;Distans;Beviljat;20;
Dans i Göteborg AB;Frihamnen 16A;Frihamnen 16A;41755;Göteborg;office@performingartsschool.se;317016680;YH01766;Event-, Scen- och Digital Produktionsteknik;Göteborg;Bunden;Beviljat;28;
Dans i Göteborg AB;Frihamnen 16A;Frihamnen 16A;41755;Göteborg;office@performingartsschool.se;317016680;YH02394;Live-ljudtekniker;Göteborg;Bunden;Beviljat;30;
Dille Gård AB;Dille 226;Dille 226;83695;Ås;hans.stenberg@dillegard.se;705399891;YH00125;Skogsbrukstekniker  - med specialkompetens mot - skoglig planering och rådgivning eller  - gallringsförare;Krokom;Bunden;Beviljat;20;
DMG Education;Reimersholmsgatan 4;Reimersholmsgatan 4;11740;Stockholm;info@dmgeducation.se;070-353 92 96;YH00609;Music Business Developer;Stockholm;Distans;Beviljat;35;
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH00003;Mätningstekniker;Norrköping;Bunden;Beviljat;20;
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH00479;Entreprenadingenjör;Norrköping;Bunden;Beviljat;20;
East Sweden Business School AB;Tullhusgatan 11;Brukareg 8;58336;Linköping;info@esbs.se;703510564;YH00483;Byggledare - bygg och anläggning;Norrköping;Bunden;Beviljat;20;
